dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,gap_mean,gap_median,gap_mode,gap_min,gap_max,gap_variance,gap_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,simple_asc_exact,instance_0020.txt,5,5,0,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.0037784,0.00346,0.00346,0.002804,0.005194,7.197890399999998e-07,0.0008484038189447286
a,simple_asc_multi,instance_0001.txt,5,5,0,0,2.357142857142857,2.357142857142857,2.357142857142857,2.357142857142857,2.357142857142857,0.0,0.0,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.0,0.0,66.0,66.0,66,66,66,0.0,0.0,28.0,28.0,28,28,28,0.0,0.0,0.0049728,0.005839,0.006769,0.002714,0.006786,3.45614216e-06,0.0018590702407386332
a,simple_asc_multi,instance_0002.txt,5,5,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.00011399999999999999,0.000108,0.000108,0.000104,0.000137,1.4599999999999996e-10,1.208304597359457e-05
a,simple_asc_multi,instance_0003.txt,5,5,0,0,2.810810810810811,2.810810810810811,2.810810810810811,2.810810810810811,2.810810810810811,0.0,0.0,0.7657657657657658,0.7657657657657658,0.7657657657657658,0.7657657657657658,0.7657657657657658,0.0,0.0,104.0,104.0,104,104,104,0.0,0.0,37.0,37.0,37,37,37,0.0,0.0,0.0071116,0.006906,0.006844,0.006651,0.008033,2.3503304000000013e-07,0.00048480206270188264
a,simple_asc_multi,instance_0004.txt,5,5,0,0,1.6363636363636362,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,4.930380657631324e-32,2.220446049250313e-16,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,0.0013752,0.001532,0.001574,0.001109,0.001574,4.468536000000002e-08,0.00021138911987138794
a,simple_asc_multi,instance_0005.txt,5,5,0,0,31.15602836879433,31.156028368794328,31.156028368794328,31.156028368794328,31.156028368794328,1.262177448353619e-29,3.552713678800501e-15,0.8248431293391747,0.8248431293391746,0.8248431293391746,0.8248431293391746,0.8248431293391746,1.232595164407831e-32,1.1102230246251565e-16,4393.0,4393.0,4393,4393,4393,0.0,0.0,141.0,141.0,141,141,141,0.0,0.0,0.20963279999999998,0.206062,0.231441,0.185489,0.233082,0.0003857772181600002,0.01964121223753769
a,simple_asc_multi,instance_0006.txt,5,5,0,0,26.65753424657534,26.65753424657534,26.65753424657534,26.65753424657534,26.65753424657534,0.0,0.0,0.9614218028269532,0.9614218028269532,0.9614218028269532,0.9614218028269532,0.9614218028269532,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,146.0,146.0,146,146,146,0.0,0.0,0.2673164,0.232121,0.232121,0.230785,0.328706,0.00193971808144,0.0440422306592207
a,simple_asc_multi,instance_0007.txt,5,5,0,0,26.53103448275862,26.53103448275862,26.53103448275862,26.53103448275862,26.53103448275862,0.0,0.0,0.9323619261115141,0.932361926111514,0.932361926111514,0.932361926111514,0.932361926111514,1.232595164407831e-32,1.1102230246251565e-16,3847.0,3847.0,3847,3847,3847,0.0,0.0,145.0,145.0,145,145,145,0.0,0.0,0.28277159999999996,0.30116,0.30116,0.233792,0.316707,0.0011213850986400006,0.03348708853632995
a,simple_asc_multi,instance_0008.txt,5,5,0,0,20.41007194244604,20.41007194244604,20.41007194244604,20.41007194244604,20.41007194244604,0.0,0.0,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.0,0.0,2837.0,2837.0,2837,2837,2837,0.0,0.0,139.0,139.0,139,139,139,0.0,0.0,0.2364966,0.211081,0.198285,0.198285,0.296395,0.0017228273014400007,0.04150695485626476
a,simple_asc_multi,instance_0009.txt,5,5,0,0,1.9240506329113924,1.9240506329113924,1.9240506329113924,1.9240506329113924,1.9240506329113924,0.0,0.0,0.5643658944351565,0.5643658944351565,0.5643658944351565,0.5643658944351565,0.5643658944351565,0.0,0.0,152.0,152.0,152,152,152,0.0,0.0,79.0,79.0,79,79,79,0.0,0.0,0.024156399999999998,0.024334,0.0237,0.0237,0.024613,1.2497544000000037e-07,0.00035351865580192566
